timestamp,ticker,strategy,return_pct,sharpe,max_drawdown_pct,win_rate_pct,total_trades,sharpe_ci_low,sharpe_ci_high,return_ci_low,return_ci_high,n_bootstrap,seed
2026-03-17T16:38:50.842985,NFLX,Hybrid,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1000,42
2026-03-17T16:39:03.675263,TSLA,MA-Only,17.6,0.9445,-17.003,100.0,4,-1.6206,3.5211,-31.3243,103.9015,1000,42
2026-03-17T16:39:03.675503,TSLA,RL-Only,-1.02,0.0653,-19.5446,0.0,1,-2.4969,2.4329,-31.8567,43.4534,1000,42
2026-03-17T16:39:03.675796,TSLA,Hybrid,16.3,0.8227,-19.9949,0.0,1,-1.4774,3.3785,-34.4188,116.0517,1000,42
2026-03-17T16:39:14.815963,SHOP,MA-Only,-22.98,-1.0919,-35.5518,0.0,4,-3.5161,1.5832,-55.0091,32.2697,1000,42
2026-03-17T16:39:14.816198,SHOP,RL-Only,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1000,42
2026-03-17T16:39:14.816270,SHOP,Hybrid,-22.98,-1.0919,-35.5518,0.0,4,-3.5161,1.5832,-55.0091,32.2697,1000,42
2026-03-17T16:39:26.836843,COIN,MA-Only,-10.73,-0.5136,-23.1341,0.0,3,-2.907,2.1899,-40.1758,43.0981,1000,42
2026-03-17T16:39:26.837080,COIN,RL-Only,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1000,42
2026-03-17T16:39:26.837414,COIN,Hybrid,-10.73,-0.5136,-23.1341,0.0,3,-2.907,2.1899,-40.1758,43.0981,1000,42
2026-03-17T16:39:44.681094,ROKU,MA-Only,-5.41,-0.1984,-23.0397,50.0,8,-2.6891,2.311,-36.9638,39.9704,1000,42
2026-03-17T16:39:44.681379,ROKU,RL-Only,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1000,42
2026-03-17T16:39:44.681689,ROKU,Hybrid,-5.41,-0.1984,-23.0397,50.0,8,-2.6891,2.311,-36.9638,39.9704,1000,42
2026-03-17T16:40:00.013704,SNAP,MA-Only,-30.31,-2.0928,-32.5588,0.0,6,-4.6147,0.5596,-54.3524,6.8991,1000,42
